,DeepCRISPR,DeepCas9,DeepSpCas9,DeepHF,CRISPRLearner,Azimuth 2.0,TSAM,sgDesigner,CRISPRedict
"Koike-Yusa
(R = 830)",0.8144578313253013,0.8771084337349397,0.8891566265060241,0.9,0.8240963855421687,0.8771084337349397,0.8771084337349397,0.8819277108433735,0.8746987951807229
"Wang
(R = 1402)",,,0.8723252496433667,0.884450784593438,,0.8245363766048502,0.8430813124108416,0.855206847360913,0.8373751783166904
"Chari
(R = 133)",0.556390977443609,,0.7744360902255639,0.7443609022556391,,0.7142857142857143,0.7142857142857143,0.7593984962406015,0.7142857142857143
"Hiranniramol
(R = 746)",0.6447721179624665,0.8337801608579088,0.8887399463806971,0.8592493297587132,0.7117962466487936,0.8123324396782842,0.8471849865951743,,0.8351206434316354
